2026-05-26 14:05:59, MOVE, v:1, k:ed@ilhas, mode:PICK
2026-05-26 14:05:59, MOVE, v:1, k:ed@ilhas, mode:EDIT
2026-05-26 14:05:59, MOVE, v:1, k:ed@ilhas, mode:EDIT
2026-05-26 14:06:09, MOVE, v:1, k:ed@cercado, mode:EDIT
2026-05-26 14:10:44, MOVE, v:1, k:ed@ilhas, mode:EDIT
2026-05-26 14:11:33, MOVE, v:1, k:ed@ilhas, mode:BACK
2026-05-26 14:15:41, MOVE, v:1, k:ed@ilhas, mode:EDIT
2026-05-26 14:17:05, MOVE, v:1, k:ed@ilhas, mode:PICK
2026-05-26 14:21:52, MOVE, v:1, k:ed@ilhas, mode:PICK
2026-05-26 14:26:45, MOVE, v:1, k:ed@ilhas, mode:EDIT
2026-05-26 14:29:03, MOVE, v:1, k:ed@ilhas, mode:EDIT
2026-05-26 14:43:06, MOVE, v:1, k:ed@cercado, mode:PICK
2026-05-26 14:43:26, MOVE, v:1, k:ed@cercado, mode:PICK
2026-05-26 14:47:50, MOVE, v:1, k:ed@cercado, mode:EDIT
2026-05-26 14:51:04, MOVE, v:1, k:ed@cercado, mode:EDIT
2026-05-26 14:58:17, MOVE, v:1, k:ed@cercado, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:sandbox@user_002, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:sandbox@user_001, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@apagando, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@eh_primo, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@casais, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@editor, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@baruel, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@editor, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@fib1, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@editor, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@especiais, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@fuga, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@gomos, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@labirinto, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@lista_d4, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@manipulacao, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@mdc, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@mumia, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@magicsearch, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@pintando, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@pedra, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@quadrado, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@prin_list1, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@resto, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@prin_list1, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@setbuild, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@treinando, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@queimada, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@subset_sum, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@vetequals, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@wordsearch, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@vetbuild, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@triangulo, mode:EDIT
2026-05-26 14:56:46, MOVE, v:1, k:ed@wordsearch, mode:EDIT
2026-05-26 15:03:17, MOVE, v:1, k:ed@cercado, mode:EDIT
